Date,Price,Open,High,Low,Volume,Change %
1/13/2020,29633.58,29415.39,29909.06,29415.39,348.24,0.74
1/12/2020,35147.62,35048.15,35204.16,35048.15,308.08,0.3
1/9/2020,25413.76,25327.13,25417.61,25327.13,,0.34
1/7/2020,24594.99,24479.16,24723.26,24479.16,198.01,0.47
1/6/2020,25321.29,25267.82,25396.1,25180.37,253.13,0.21
1/4/2020,21100.54,21309.5,21317.98,20779.13,154.35,-0.94
12/31/2019,26842.07,26609.34,27357.84,26608.56,257.01,0.87
12/30/2019,26609.34,26416.48,26609.34,26240.29,382.81,0.73
12/27/2019,26416.48,26090.88,26419.73,26050.44,222.48,1.24
12/24/2019,26092.82,26115.8,26124.73,26018.13,324.38,-0.09
12/23/2019,26115.8,26526.35,26526.35,26102.21,188.79,-1.55
12/20/2019,26526.35,26584.45,26584.45,26408.32,341.61,-0.22
12/19/2019,26584.45,26665.73,26684.74,26536.01,304.21,-0.3
12/18/2019,26665.73,26660.44,26691.44,26646.64,232.68,0.02
12/17/2019,26660.44,26695.18,27006.97,26643.1,331.91,-0.13
12/16/2019,26695.18,26536.21,26695.18,26521.38,170.52,0.6
12/13/2019,26536.21,26569.8,26627.68,26503.92,155.34,-0.13
12/12/2019,26569.8,26434,26579.09,26434,319.69,0.51
12/11/2019,26456.39,26314.49,26512.6,26314.49,378.35,0.54
12/9/2019,27426.64,27153.53,27439.54,27142.88,115.3,1.01
12/7/2019,28566.79,28712.9,28759.29,28563.31,100.37,-0.51
12/4/2019,29560.47,29347.62,29566.55,29312.86,,0.73
12/3/2019,31313.36,31636.66,31645.24,31267.99,,-1.02
12/2/2019,32462.31,31783,32462.69,31783,,2.14
11/29/2019,27002.15,26824.5,27028.05,26823.81,227.16,0.66
